Source IP,Destination IP,Protocol,Source Port,Destination Port,Timestamp,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,SYN_ACK_Count,Length,IAT,labels
10.50.211.217,211.231.116.86,6,55627,443,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,40,0.0146911144256591,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0010032653808593,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0010406970977783,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,1500,0.0010919570922851,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0010023117065429,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0012240409851074,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0013401508331298,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0011475086212158,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0009975433349609,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0010004043579101,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0011959075927734,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0,0
10.50.211.217,211.231.116.86,6,55627,443,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,40,0.0197401046752929,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0464575290679931,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0009965896606445,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0010228157043457,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0010039806365966,0
211.231.116.86,10.50.211.217,6,443,55627,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,1500,0.0010032653808593,0
27.0.238.92,10.50.211.217,6,443,54943,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,292,5.752931833267212,0
10.50.211.217,27.0.238.92,6,54943,443,2023-05-30 14:00:14,0,1,0,0,1,0,0,0,1,40,0.0629029273986816,0
10.50.211.217,27.0.238.92,6,54943,443,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,138,0.0233004093170166,0
27.0.238.92,10.50.211.217,6,443,54943,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,137,0.0226149559020996,0
10.50.211.217,121.53.203.203,6,54936,443,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,275,28.730082988739014,0
121.53.203.203,10.50.211.217,6,443,54936,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,1008,28.74595546722412,0
121.53.203.203,10.50.211.217,6,443,54936,2023-05-30 14:00:14,0,1,0,1,1,0,0,0,1,71,0.0009963512420654,0
10.50.211.217,20.43.132.130,6,55506,443,2023-05-30 14:00:15,0,1,0,0,1,0,0,0,1,41,45.08104944229126,0
20.43.132.130,10.50.211.217,6,443,55506,2023-05-30 14:00:15,0,1,0,0,1,0,0,0,1,52,45.09026646614075,0
